area_type,area,age_0_4_male,age_5_9_male,age_10_14_male,age_15_19_male,age_20_24_male,age_25_29_male,age_30_34_male,age_35_39_male,age_40_44_male,age_45_49_male,age_50_54_male,age_55_59_male,age_60_64_male,age_65_69_male,age_70_74_male,age_75_79_male,age_80_84_male,age_85_above_male,age_0_4_female,age_5_9_female,age_10_14_female,age_15_19_female,age_20_24_female,age_25_29_female,age_30_34_female,age_35_39_female,age_40_44_female,age_45_49_female,age_50_54_female,age_55_59_female,age_60_64_female,age_65_69_female,age_70_74_female,age_75_79_female,age_80_84_female,age_85_above_female,sex_male,sex_female,agegroup_child,agegroup_working,agegroup_elderly,ethnicity_bumi,ethnicity_chinese,ethnicity_indian,ethnicity_other,religion_muslim,religion_christian,religion_buddhist,religion_hindu,religion_other,religion_atheist,nationality_local,nationality_foreign,marital_never_married,marital_married,marital_widowed,marital_divorced,housing_owned,housing_rented,housing_quarters,labour_working,labour_unemployed,labour_out
district,Simunjan,1079,1518,1661,1632,1336,1430,1492,1333,1237,1196,1266,1077,1041,702,543,327,123,84,968,1342,1555,1495,1169,1131,1229,1036,1004,1011,1202,1126,987,733,543,328,165,110,52.682886415730025,47.31711358426997,22.43241004114772,67.46568722211482,10.101902736737456,96.61884040926732,2.622603786898741,0.0117605550982006,0.7467952487357403,61.53654966722819,36.19894507193946,1.6845709867167435,0.0331391013780342,0.3479605644693601,0.1988346082682058,93.92725967247522,6.0727403275247855,34.69809171176303,58.298917687268585,4.977214468812305,2.0257761321560808,,,,,,
district,Sri Aman,1745,2544,2318,2209,2577,2968,2736,2114,1688,2077,2022,1685,1510,1269,947,699,350,252,1565,2425,2177,2118,2044,2554,2116,1789,1768,1887,1943,1722,1626,1281,1056,697,401,359,51.78157353277377,48.21842646722623,20.859596982265916,67.20173748326202,11.93866553447206,87.66951700180373,12.110027389939209,0.0434230743536642,0.1770325339034003,26.79218785721284,63.15523041248898,8.787027662562462,0.0424572977562951,0.1828929749501943,1.0402037950292302,97.77589078676638,2.2241092132336133,39.18166061406404,52.5008253549026,6.163337735226147,2.154176295807197,,,,,,
district,Lubok Antu,508,877,1018,867,745,847,1003,809,798,899,963,867,707,603,422,336,146,75,485,831,934,928,705,761,859,715,743,868,848,947,730,576,543,302,184,124,50.82814471167541,49.171855288324586,18.935416921010862,67.59044479713506,13.474138281854067,93.97469203050365,5.8367552166261625,0.0419006117489315,0.1466521411212603,6.153094860212429,88.0315793757376,4.427623814756033,0.0203475359134008,0.4802018475562609,0.8871525658242787,97.12285842184512,2.8771415781548857,27.986947791164656,62.47489959839358,7.474899598393573,2.0632530120481927,,,,,,
district,Betong,875,1309,1597,1605,1282,1324,1664,1296,1262,1299,1346,1245,862,827,456,359,169,97,901,1224,1546,1534,1142,1292,1322,1101,1005,1130,1216,1155,935,767,514,359,157,129,51.99019364790789,48.00980635209211,20.52722915461532,68.91166019337246,10.56111065201223,96.21759928801868,3.6655912782289466,0.0222494159528312,0.0945600177995327,42.94686389554583,54.13877640966312,2.4984161088615267,0.019282152990111,0.1515026306365865,0.2451588023028399,99.04415613034736,0.9558438696526456,39.7871824200201,52.4557207722436,6.093376312779453,1.6637204949568472,,,,,,
district,Saratok,510,701,844,822,712,797,969,731,863,861,875,975,678,501,280,157,61,46,579,755,818,859,796,838,968,709,860,894,866,955,680,484,307,176,85,93,49.26639255572387,50.73360744427613,18.208180047608742,72.31335208829258,9.47846786409868,94.72049689440992,5.152655060799581,0.0262444230600997,0.1006036217303823,29.30534516338455,65.20233715645965,4.825795282406405,0.0129842025535598,0.1731227007141311,0.4804154944817139,98.94827959316166,1.0517204068383466,39.06762620383109,54.81532437294951,4.111546195364589,2.0055032278547995,,,,,,
district,Sarikei,1218,1759,2073,2071,1626,1501,1562,1525,1467,1496,1534,1239,1061,910,525,278,167,109,1154,1677,1951,1867,1488,1577,1542,1552,1568,1511,1520,1349,1091,853,536,357,168,157,50.23047753127909,49.76952246872091,22.32566588705465,68.4552328617816,9.219101251163742,60.944748082487486,38.81872043356451,0.0711890874018279,0.165342396546181,26.183609982061355,45.573241899225685,18.885533277322374,0.0363314335021231,0.3565021912395831,8.964781216648879,98.88053770521584,1.1194622947841686,32.516834769312204,59.91707589613903,5.378304466727438,2.187784867821331,,,,,,
district,Maradong,599,982,935,893,744,743,671,610,539,664,702,742,443,344,258,160,57,41,553,985,886,886,712,748,655,633,633,688,740,668,452,362,257,167,77,70,49.88915710133504,50.11084289866496,24.336174195773197,66.83087836839253,8.832947435834278,62.35163950915309,37.25105612552807,0.0150875075437537,0.3822168577750955,22.424749987684123,55.948568895019456,11.241933100152716,0.0098527021035519,1.0394600719247251,9.335435243115423,97.95556431351298,2.044435686487019,32.3846908734053,59.47661105659143,5.685312397775597,2.4533856722276743,,,,,,
district,Daro,627,1031,974,830,671,1034,1068,918,723,598,542,462,368,294,192,114,63,19,594,924,863,779,571,809,746,646,521,493,480,492,340,301,194,116,54,26,54.05349899881912,45.94650100118088,25.73805000770139,67.21260974482723,7.049340247471377,98.19465339659762,1.440805462330749,0.0231454692743895,0.3413956717972456,89.82389485033629,9.277609488114186,0.6366483544693742,0.0154027827694203,0.2156389587718848,0.0308055655388406,88.73029727370745,11.26970272629255,40.81858407079646,52.30918141592921,4.756637168141593,2.1155973451327434,,,,,,
district,Julau,400,633,715,656,505,546,443,420,486,580,584,525,348,310,231,119,82,30,419,641,689,695,455,529,458,463,526,530,557,526,364,286,268,145,102,67,49.65107937129068,50.34892062870932,22.807017543859647,66.49709776299485,10.695884693145503,97.1853980278195,2.6905243910402925,0.0130607980147587,0.1110167831254489,2.23700515228592,92.3759212156786,1.258723015717733,0.0,1.278288658449097,2.850061957868649,99.86956238179091,0.1304376182090915,25.346400811084823,63.991213247718825,7.730652247380871,2.9317336938154783,,,,,,
district,Sibu,6967,9768,10578,10894,11703,12205,10866,10017,8776,7980,7175,6499,5028,3921,2615,1484,902,444,6304,9013,9232,10172,9901,10015,9632,9346,8594,8099,7366,6355,5419,4069,2947,1748,1167,863,51.52783152734778,48.47216847265221,20.906701496388028,70.96636351909184,8.126934984520123,50.87443631114348,48.74742906782152,0.1056051644332026,0.2725294566018131,20.162941821465427,60.09215363777089,13.838364293085656,0.0854618163054695,0.348297213622291,5.472781217750258,94.66790828173374,5.332091718266254,34.720119840143305,58.05175962832795,5.093206090477214,2.1349144410515346,,,,,,
